cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310690,Bicas,14612,12178,984.28,984.28,0.00,984.28,,,,3284,0,3257,0,385,12,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310700,Biquinhas,2482,1632,146.09,0.00,146.09,146.09,,,,427,0,430,0,136,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310710,Boa Esperança,40308,34033,3507.64,3507.64,0.00,3507.64,33689,1951.60,1951.60,626,40,626,13,626,9,,31071011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
310720,Bocaina de Minas,5088,4000,200.00,0.00,0.00,0.00,3950,130.00,0.00,0,0,0,0,108,70,,31072011,Prefeitura Municipal de Bocaina de Minas,PMBM,Local,Administração pública direta,Água e Esgoto
310730,Bocaiúva,50521,46284,3785.00,1982.00,1803.00,0.00,41139,1495.50,1334.40,7250,18,7200,46,2200,5,,31073011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
310740,Bom Despacho,51436,46334,3630.36,1443.13,2187.23,3630.36,44497,1849.03,1849.03,9424,4,9423,0,788,7,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310750,Bom Jardim de Minas,6444,5024,409.43,409.43,0.00,409.43,,,,2874,0,2867,0,164,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310760,Bom Jesus da Penha,4270,3055,246.20,0.00,246.20,246.20,,,,518,0,504,0,153,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310760,Bom Jesus da Penha,4270,,,,,,4270,220.00,0.00,,,,,,,,31076011,Prefeitura Municipal de Bom Jesus da Penha,PMBJP,Local,Administração pública direta,Esgoto
310770,Bom Jesus do Amparo,6182,2757,205.88,174.66,31.22,205.88,,,,3560,2,3521,5,244,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310770,Bom Jesus do Amparo,6182,,,,,,2691,403.00,403.00,,,,,,,,31077011,Prefeitura Municipal de Bom Jesus do Amparo,PMB,Local,Administração pública direta,Esgoto
